,Data zmiany,Cena,Akcyza,Opłata paliwowa
0,2022-06-06,"7 152,00","1 104,00",32912
1,2022-06-02,"7 174,00","1 104,00",32912
2,2022-06-01,"6 912,00","1 104,00",32912
3,2022-05-31,"6 750,00","1 104,00",32912
4,2022-05-28,"6 699,00","1 104,00",32912
5,2022-05-27,"6 686,00","1 104,00",32912
6,2022-05-26,"6 481,00","1 104,00",32912
7,2022-05-25,"6 394,00","1 104,00",32912
8,2022-05-24,"6 382,00","1 104,00",32912
9,2022-05-21,"6 436,00","1 104,00",32912
10,2022-05-20,"6 502,00","1 104,00",32912
11,2022-05-19,"6 542,00","1 104,00",32912
12,2022-05-18,"6 618,00","1 104,00",32912
13,2022-05-17,"6 660,00","1 104,00",32912
14,2022-05-16,"6 647,00","1 104,00",32912
15,2022-05-14,"6 600,00","1 104,00",32912
16,2022-05-13,"6 589,00","1 104,00",32912
17,2022-05-12,"6 583,00","1 104,00",32912
18,2022-05-11,"6 527,00","1 104,00",32912
19,2022-05-10,"6 691,00","1 104,00",32912
20,2022-05-07,"6 753,00","1 104,00",32912
21,2022-05-06,"6 875,00","1 104,00",32912
22,2022-05-05,"6 831,00","1 104,00",32912
23,2022-05-01,"6 901,00","1 104,00",32912
24,2022-04-30,"6 987,00","1 104,00",32912
25,2022-04-29,"6 982,00","1 104,00",32912
26,2022-04-28,"6 887,00","1 104,00",32912
27,2022-04-27,"6 662,00","1 104,00",32912
28,2022-04-26,"6 590,00","1 104,00",32912
29,2022-04-23,"6 658,00","1 104,00",32912
30,2022-04-22,"6 645,00","1 104,00",32912
31,2022-04-21,"6 683,00","1 104,00",32912
32,2022-04-20,"6 647,00","1 104,00",32912
33,2022-04-19,"6 664,00","1 104,00",32912
34,2022-04-15,"6 664,00","1 104,00",32912
35,2022-04-14,"6 491,00","1 104,00",32912
36,2022-04-13,"6 406,00","1 104,00",32912
37,2022-04-12,"6 228,00","1 104,00",32912
38,2022-04-09,"6 302,00","1 104,00",32912
39,2022-04-08,"6 347,00","1 104,00",32912
40,2022-04-07,"6 411,00","1 104,00",32912
41,2022-04-06,"6 443,00","1 104,00",32912
42,2022-04-05,"6 543,00","1 104,00",32912
43,2022-04-02,"6 516,00","1 104,00",32912
44,2022-04-01,"6 648,00","1 104,00",32912
45,2022-03-31,"6 835,00","1 104,00",32912
46,2022-03-30,"6 990,00","1 104,00",32912
47,2022-03-29,"7 091,00","1 104,00",32912
48,2022-03-26,"7 185,00","1 104,00",32912
49,2022-03-25,"7 269,00","1 104,00",32912
50,2022-03-24,"7 099,00","1 104,00",32912
51,2022-03-23,"6 860,00","1 104,00",32912
52,2022-03-22,"6 763,00","1 104,00",32912
53,2022-03-19,"6 491,00","1 104,00",32912
54,2022-03-18,"6 405,00","1 104,00",32912
55,2022-03-17,"6 153,00","1 104,00",32912
56,2022-03-16,"6 351,00","1 104,00",32912
57,2022-03-15,"6 697,00","1 104,00",32912
58,2022-03-12,"6 920,00","1 104,00",32912
59,2022-03-11,"7 060,00","1 104,00",32912
60,2022-03-10,"7 344,00","1 104,00",32912
61,2022-03-09,"7 699,00","1 104,00",32912
62,2022-03-08,"7 290,00","1 104,00",32912
63,2022-03-05,"6 638,00","1 104,00",32912
64,2022-03-04,"6 366,00","1 104,00",32912
65,2022-03-03,"6 164,00","1 104,00",32912
66,2022-03-02,"5 774,00","1 104,00",32912
67,2022-03-01,"5 524,00","1 104,00",32912
68,2022-02-26,"5 437,00","1 104,00",32912
69,2022-02-25,"5 361,00","1 104,00",32912
70,2022-02-24,"5 160,00","1 104,00",32912
71,2022-02-23,"5 151,00","1 104,00",32912
72,2022-02-22,"5 069,00","1 104,00",32912
73,2022-02-19,"5 060,00","1 104,00",32912
74,2022-02-18,"5 067,00","1 104,00",32912
75,2022-02-17,"5 073,00","1 104,00",32912
76,2022-02-16,"5 077,00","1 104,00",32912
77,2022-02-15,"5 128,00","1 104,00",32912
78,2022-02-12,"5 039,00","1 104,00",32912
79,2022-02-11,"4 995,00","1 104,00",32912
80,2022-02-10,"5 005,00","1 104,00",32912
81,2022-02-09,"5 019,00","1 104,00",32912
82,2022-02-08,"5 052,00","1 104,00",32912
83,2022-02-05,"5 029,00","1 104,00",32912
84,2022-02-04,"4 986,00","1 104,00",32912
85,2022-02-03,"4 976,00","1 104,00",32912
86,2022-02-02,"4 982,00","1 104,00",32912
87,2022-02-01,"4 994,00","1 104,00",32912
88,2022-01-29,"5 013,00","1 104,00",32912
89,2022-01-28,"4 946,00","1 104,00",32912
90,2022-01-27,"4 918,00","1 104,00",32912
91,2022-01-26,"4 851,00","1 104,00",32912
92,2022-01-25,"4 827,00","1 104,00",32912
93,2022-01-22,"4 848,00","1 104,00",32912
94,2022-01-21,"4 841,00","1 104,00",32912
95,2022-01-20,"4 826,00","1 104,00",32912
96,2022-01-19,"4 795,00","1 104,00",32912
97,2022-01-18,"4 777,00","1 104,00",32912
98,2022-01-15,"4 781,00","1 104,00",32912
99,2022-01-14,"4 740,00","1 104,00",32912
100,2022-01-13,"4 767,00","1 104,00",32912
101,2022-01-12,"4 755,00","1 104,00",32912
102,2022-01-11,"4 735,00","1 104,00",32912
103,2022-01-10,"4 722,00","1 104,00",32912
104,2022-01-08,"4 692,00","1 104,00",32912
105,2022-01-06,"4 681,00","1 104,00",32912
106,2022-01-05,"4 639,00","1 104,00",32912
107,2022-01-01,"4 617,00","1 104,00",32912
108,2021-12-31,"4 611,00","1 065,00",33853
109,2021-12-30,"4 618,00","1 065,00",33853
110,2021-12-25,"4 551,00","1 065,00",33853
111,2021-12-24,"4 565,00","1 065,00",33853
112,2021-12-23,"4 561,00","1 065,00",33853
113,2021-12-22,"4 554,00","1 065,00",33853
114,2021-12-21,"4 621,00","1 065,00",33853
115,2021-12-20,"4 671,00","1 065,00",33853
116,2021-12-18,"4 751,00","1 145,00",33853
117,2021-12-17,"4 774,00","1 145,00",33853
118,2021-12-16,"4 746,00","1 145,00",33853
119,2021-12-15,"4 758,00","1 145,00",33853
120,2021-12-14,"4 760,00","1 145,00",33853
121,2021-12-11,"4 760,00","1 145,00",33853
122,2021-12-10,"4 776,00","1 145,00",33853
123,2021-12-09,"4 760,00","1 145,00",33853
124,2021-12-08,"4 740,00","1 145,00",33853
125,2021-12-07,"4 645,00","1 145,00",33853
126,2021-12-06,"4 648,00","1 145,00",33853
127,2021-12-04,"4 648,00","1 145,00",33853
128,2021-12-03,"4 654,00","1 145,00",33853
129,2021-12-02,"4 687,00","1 145,00",33853
