"Data","Ostatnio","Otwarcie","Max.","Min.","Wol.","Zmiana%"
"03.06.2022","119,72","118,22","121,45","116,02","141,66K","1,79%"
"02.06.2022","117,61","115,02","118,46","112,45","216,90K","3,57%"
"01.06.2022","113,56","113,14","115,44","112,41","172,76K","-1,76%"
"31.05.2022","115,60","118,20","120,80","115,15","360,17K","-1,70%"
"30.05.2022","117,60","115,47","117,94","115,32","145,09K","-1,53%"
"27.05.2022","119,43","117,52","119,72","116,63","81,16K","4,61%"
"26.05.2022","114,17","111,44","114,77","110,88","232,57K","2,74%"
"25.05.2022","111,12","111,35","112,38","110,18","210,94K","0,39%"
"24.05.2022","110,69","110,42","111,91","109,08","220,64K","-0,08%"
"23.05.2022","110,78","110,29","111,59","109,30","191,99K","-1,57%"
"20.05.2022","112,55","111,45","113,23","110,52","180,89K","0,46%"
"19.05.2022","112,04","108,22","112,31","105,70","272,35K","2,69%"
"18.05.2022","109,11","112,91","114,15","108,35","245,04K","-2,52%"
"17.05.2022","111,93","114,42","115,69","111,09","277,89K","-2,02%"
"16.05.2022","114,24","111,67","114,79","108,84","218,44K","2,41%"
"13.05.2022","111,55","108,25","111,69","107,79","220,32K","3,82%"
"12.05.2022","107,45","107,67","108,71","104,69","264,26K","-0,06%"
"11.05.2022","107,51","101,51","108,29","101,30","287,53K","4,93%"
"10.05.2022","102,46","105,50","106,96","101,54","327,99K","-3,28%"
"09.05.2022","105,94","112,94","113,20","105,00","302,17K","-5,74%"
"06.05.2022","112,39","111,27","113,50","109,87","249,83K","1,34%"
"05.05.2022","110,90","110,55","114,00","109,20","279,88K","0,69%"
"04.05.2022","110,14","105,91","111,00","105,46","241,68K","4,93%"
"03.05.2022","104,97","107,61","108,32","104,62","184,20K","-2,43%"
"02.05.2022","107,58","106,30","108,46","103,10","151,34K","-1,61%"
"29.04.2022","109,34","107,55","110,30","107,00","12,02K","1,63%"
"28.04.2022","107,59","104,96","108,00","103,29","73,32K","2,52%"
"27.04.2022","104,95","105,06","105,98","103,00","230,07K","0,33%"
"26.04.2022","104,61","102,30","105,81","100,91","268,03K","2,27%"
"25.04.2022","102,29","104,62","104,89","99,26","-","-2,17%"
"24.04.2022","104,56","105,06","105,06","104,12","-","-1,96%"
"22.04.2022","106,65","108,26","108,76","105,54","125,87K","-1,55%"
"21.04.2022","108,33","107,07","109,80","106,76","185,38K","1,43%"
"20.04.2022","106,80","108,10","109,00","104,65","243,67K","-0,42%"
"19.04.2022","107,25","112,85","114,21","106,74","239,91K","-5,22%"
"18.04.2022","113,16","112,32","114,84","110,71","132,15K","1,31%"
"14.04.2022","111,70","108,29","112,39","106,63","210,18K","2,68%"
"13.04.2022","108,78","105,44","109,00","104,06","247,26K","3,96%"
"12.04.2022","104,64","99,35","105,60","98,90","273,95K","6,26%"
"11.04.2022","98,48","103,21","103,30","97,57","238,69K","-4,18%"
"08.04.2022","102,78","101,42","103,30","99,65","217,64K","2,19%"
"07.04.2022","100,58","101,78","103,59","98,41","296,03K","-0,48%"
"06.04.2022","101,07","105,70","108,67","100,54","286,52K","-5,22%"
"05.04.2022","106,64","108,51","109,90","104,53","203,06K","-0,83%"
"04.04.2022","107,53","104,08","108,68","102,89","218,68K","3,01%"
"01.04.2022","104,39","105,25","106,24","102,35","238,62K","-3,26%"
"31.03.2022","107,91","112,81","112,94","106,50","8,68K","-4,88%"
"30.03.2022","113,45","112,00","114,80","110,74","72,33K","2,92%"
"29.03.2022","110,23","110,10","114,83","104,84","93,68K","-2,00%"
"28.03.2022","112,48","119,90","119,90","109,06","150,82K","-6,77%"
"25.03.2022","120,65","118,88","120,92","115,16","133,46K","1,36%"
"24.03.2022","119,03","121,56","123,74","116,93","177,66K","-2,11%"
"23.03.2022","121,60","114,70","122,34","114,45","224,53K","5,30%"
"22.03.2022","115,48","117,04","119,48","112,64","204,66K","-0,12%"
"21.03.2022","115,62","107,50","116,80","107,06","196,49K","7,12%"
"18.03.2022","107,93","106,80","109,59","105,78","168,91K","1,21%"
"17.03.2022","106,64","98,61","107,50","97,75","200,95K","8,79%"
"16.03.2022","98,02","99,14","103,70","96,93","246,82K","-1,89%"
"15.03.2022","99,91","105,34","105,71","97,44","318,12K","-6,54%"
"14.03.2022","106,90","113,15","113,15","103,49","265,91K","-5,12%"
"11.03.2022","112,67","110,26","113,91","107,13","287,39K","3,05%"
"10.03.2022","109,33","112,65","118,36","109,00","352,34K","-1,63%"
"09.03.2022","111,14","130,28","131,64","105,60","521,58K","-13,16%"
"08.03.2022","127,98","124,56","133,15","121,31","469,99K","3,87%"
"07.03.2022","123,21","122,79","139,13","119,04","419,93K","4,32%"
"04.03.2022","118,11","114,23","118,98","109,62","334,41K","6,93%"
"03.03.2022","110,46","115,27","119,84","109,40","452,52K","-2,19%"
"02.03.2022","112,93","107,34","115,11","106,83","490,57K","7,58%"
"01.03.2022","104,97","98,43","107,67","98,30","492,51K","3,94%"
"28.02.2022","100,99","101,98","105,07","99,64","22,96K","3,12%"
"25.02.2022","97,93","100,69","101,99","96,00","68,98K","-1,16%"
"24.02.2022","99,08","98,08","105,79","97,56","167,79K","2,31%"
"23.02.2022","96,84","96,65","98,71","95,81","238,63K","0,00%"
"22.02.2022","96,84","96,55","99,50","95,80","316,38K","1,52%"
"21.02.2022","95,39","94,29","97,40","92,57","217,04K","1,98%"
"18.02.2022","93,54","92,73","94,15","90,12","348,35K","0,61%"
"17.02.2022","92,97","92,20","94,50","92,14","347,79K","-1,94%"
"16.02.2022","94,81","93,49","96,07","91,11","393,79K","1,64%"
"15.02.2022","93,28","95,81","96,26","92,06","378,25K","-3,32%"
"14.02.2022","96,48","95,20","96,78","93,44","373,09K","2,16%"
"11.02.2022","94,44","91,17","95,66","90,51","452,11K","3,31%"
"10.02.2022","91,41","91,75","93,10","90,88","369,01K","-0,15%"
"09.02.2022","91,55","91,08","92,09","90,05","294,00K","0,85%"
"08.02.2022","90,78","92,63","92,93","89,93","368,55K","-2,06%"
"07.02.2022","92,69","92,75","94,00","92,13","317,29K","-0,62%"
"04.02.2022","93,27","91,30","93,70","91,20","322,13K","2,37%"
"03.02.2022","91,11","89,07","91,30","88,02","301,79K","1,83%"
"02.02.2022","89,47","89,48","90,52","88,28","319,43K","0,35%"
"01.02.2022","89,16","89,62","89,96","87,72","271,77K","-2,25%"
"31.01.2022","91,21","90,80","91,48","90,61","11,01K","1,31%"
"28.01.2022","90,03","89,98","91,70","89,41","102,01K","2,11%"
"27.01.2022","88,17","88,50","89,74","87,79","131,70K","-0,64%"
"26.01.2022","88,74","86,98","89,27","86,71","260,11K","0,61%"
"25.01.2022","88,20","86,76","88,37","86,20","256,21K","2,24%"
"24.01.2022","86,27","87,93","88,90","85,04","309,89K","-1,84%"
"21.01.2022","87,89","86,75","88,23","85,71","288,21K","-0,55%"
"20.01.2022","88,38","87,89","89,50","87,05","279,52K","-0,07%"
"19.01.2022","88,44","88,65","89,17","87,61","350,94K","1,06%"
"18.01.2022","87,51","86,47","88,66","86,44","356,88K","1,19%"
"17.01.2022","86,48","86,15","86,71","85,54","139,82K","0,49%"
"14.01.2022","86,06","84,12","86,50","83,99","304,72K","1,88%"
"13.01.2022","84,47","84,87","85,10","83,79","265,20K","-0,24%"
"12.01.2022","84,67","83,78","85,21","83,52","301,39K","1,13%"
"11.01.2022","83,72","81,08","83,98","80,89","324,94K","3,52%"
"10.01.2022","80,87","81,76","82,30","80,50","300,65K","-1,08%"
"07.01.2022","81,75","82,00","83,00","81,42","286,11K","-0,29%"
"06.01.2022","81,99","80,22","82,83","79,61","353,16K","1,47%"
"05.01.2022","80,80","80,07","81,50","79,51","331,74K","1,00%"
"04.01.2022","80,00","78,91","80,55","78,62","291,68K","1,29%"
"03.01.2022","78,98","78,11","79,28","77,04","201,03K","1,54%"
