,Data zmiany,Cena,Akcyza,Opłata paliwowa
0,2022-06-02,"7 521,00","1 413,00",15261
1,2022-06-01,"7 406,00","1 413,00",15261
2,2022-05-31,"7 211,00","1 413,00",15261
3,2022-05-28,"7 120,00","1 413,00",15261
4,2022-05-27,"7 078,00","1 413,00",15261
5,2022-05-26,"6 872,00","1 413,00",15261
6,2022-05-25,"6 711,00","1 413,00",15261
7,2022-05-24,"6 769,00","1 413,00",15261
8,2022-05-21,"6 821,00","1 413,00",15261
9,2022-05-20,"6 826,00","1 413,00",15261
10,2022-05-19,"6 869,00","1 413,00",15261
11,2022-05-18,"6 940,00","1 413,00",15261
12,2022-05-17,"6 912,00","1 413,00",15261
13,2022-05-16,"6 761,00","1 413,00",15261
14,2022-05-14,"6 691,00","1 413,00",15261
15,2022-05-13,"6 631,00","1 413,00",15261
16,2022-05-12,"6 387,00","1 413,00",15261
17,2022-05-11,"6 381,00","1 413,00",15261
18,2022-05-10,"6 474,00","1 413,00",15261
19,2022-05-07,"6 520,00","1 413,00",15261
20,2022-05-06,"6 350,00","1 413,00",15261
21,2022-05-05,"6 343,00","1 413,00",15261
22,2022-05-01,"6 236,00","1 413,00",15261
23,2022-04-30,"6 236,00","1 413,00",15261
24,2022-04-29,"6 262,00","1 413,00",15261
25,2022-04-28,"6 124,00","1 413,00",15261
26,2022-04-27,"5 940,00","1 413,00",15261
27,2022-04-26,"5 857,00","1 413,00",15261
28,2022-04-23,"5 908,00","1 413,00",15261
29,2022-04-22,"5 896,00","1 413,00",15261
30,2022-04-21,"5 866,00","1 413,00",15261
31,2022-04-20,"5 862,00","1 413,00",15261
32,2022-04-19,"5 862,00","1 413,00",15261
33,2022-04-15,"5 851,00","1 413,00",15261
34,2022-04-14,"5 874,00","1 413,00",15261
35,2022-04-13,"5 796,00","1 413,00",15261
36,2022-04-12,"5 677,00","1 413,00",15261
37,2022-04-09,"5 722,00","1 413,00",15261
38,2022-04-08,"5 743,00","1 413,00",15261
39,2022-04-07,"5 787,00","1 413,00",15261
40,2022-04-06,"5 820,00","1 413,00",15261
41,2022-04-05,"5 840,00","1 413,00",15261
42,2022-04-02,"5 882,00","1 413,00",15261
43,2022-04-01,"5 965,00","1 413,00",15261
44,2022-03-31,"6 023,00","1 413,00",15261
45,2022-03-30,"6 062,00","1 413,00",15261
46,2022-03-29,"6 117,00","1 413,00",15261
47,2022-03-26,"6 212,00","1 413,00",15261
48,2022-03-25,"6 145,00","1 413,00",15261
49,2022-03-24,"6 115,00","1 413,00",15261
50,2022-03-23,"5 944,00","1 413,00",15261
51,2022-03-22,"5 913,00","1 413,00",15261
52,2022-03-19,"5 706,00","1 413,00",15261
53,2022-03-18,"5 652,00","1 413,00",15261
54,2022-03-17,"5 652,00","1 413,00",15261
55,2022-03-16,"5 812,00","1 413,00",15261
56,2022-03-15,"6 038,00","1 413,00",15261
57,2022-03-12,"6 215,00","1 413,00",15261
58,2022-03-11,"6 305,00","1 413,00",15261
59,2022-03-10,"6 469,00","1 413,00",15261
60,2022-03-09,"6 624,00","1 413,00",15261
61,2022-03-08,"6 541,00","1 413,00",15261
62,2022-03-05,"6 074,00","1 413,00",15261
63,2022-03-04,"5 825,00","1 413,00",15261
64,2022-03-03,"5 675,00","1 413,00",15261
65,2022-03-02,"5 477,00","1 413,00",15261
66,2022-03-01,"5 284,00","1 413,00",15261
67,2022-02-26,"5 239,00","1 413,00",15261
68,2022-02-25,"5 172,00","1 413,00",15261
69,2022-02-24,"4 991,00","1 413,00",15261
70,2022-02-23,"4 970,00","1 413,00",15261
71,2022-02-22,"4 924,00","1 413,00",15261
72,2022-02-19,"4 928,00","1 413,00",15261
73,2022-02-18,"4 938,00","1 413,00",15261
74,2022-02-17,"4 947,00","1 413,00",15261
75,2022-02-16,"4 948,00","1 413,00",15261
76,2022-02-15,"5 012,00","1 413,00",15261
77,2022-02-12,"4 934,00","1 413,00",15261
78,2022-02-11,"4 848,00","1 413,00",15261
79,2022-02-10,"4 865,00","1 413,00",15261
80,2022-02-09,"4 849,00","1 413,00",15261
81,2022-02-08,"4 868,00","1 413,00",15261
82,2022-02-05,"4 832,00","1 413,00",15261
83,2022-02-04,"4 790,00","1 413,00",15261
84,2022-02-03,"4 784,00","1 413,00",15261
85,2022-02-02,"4 791,00","1 413,00",15261
86,2022-02-01,"4 808,00","1 413,00",15261
87,2022-01-29,"4 806,00","1 413,00",15261
88,2022-01-28,"4 759,00","1 413,00",15261
89,2022-01-27,"4 742,00","1 413,00",15261
90,2022-01-26,"4 656,00","1 413,00",15261
91,2022-01-25,"4 616,00","1 413,00",15261
92,2022-01-22,"4 638,00","1 413,00",15261
93,2022-01-21,"4 631,00","1 413,00",15261
94,2022-01-20,"4 584,00","1 413,00",15261
95,2022-01-19,"4 571,00","1 413,00",15261
96,2022-01-18,"4 549,00","1 413,00",15261
97,2022-01-15,"4 552,00","1 413,00",15261
98,2022-01-14,"4 523,00","1 413,00",15261
99,2022-01-13,"4 528,00","1 413,00",15261
100,2022-01-12,"4 521,00","1 413,00",15261
101,2022-01-11,"4 506,00","1 413,00",15261
102,2022-01-10,"4 502,00","1 413,00",15261
103,2022-01-08,"4 502,00","1 413,00",15261
104,2022-01-06,"4 492,00","1 413,00",15261
105,2022-01-05,"4 475,00","1 413,00",15261
106,2022-01-01,"4 480,00","1 413,00",15261
107,2021-12-31,"4 460,00","1 369,00",16514
108,2021-12-30,"4 446,00","1 369,00",16514
109,2021-12-25,"4 364,00","1 369,00",16514
110,2021-12-24,"4 371,00","1 369,00",16514
111,2021-12-23,"4 336,00","1 369,00",16514
112,2021-12-22,"4 367,00","1 369,00",16514
113,2021-12-21,"4 387,00","1 369,00",16514
114,2021-12-20,"4 419,00","1 369,00",16514
115,2021-12-18,"4 564,00","1 514,00",16514
116,2021-12-17,"4 581,00","1 514,00",16514
117,2021-12-16,"4 576,00","1 514,00",16514
118,2021-12-15,"4 588,00","1 514,00",16514
119,2021-12-14,"4 591,00","1 514,00",16514
120,2021-12-11,"4 567,00","1 514,00",16514
121,2021-12-10,"4 566,00","1 514,00",16514
122,2021-12-09,"4 537,00","1 514,00",16514
123,2021-12-08,"4 509,00","1 514,00",16514
124,2021-12-07,"4 402,00","1 514,00",16514
